customer_name,zip_count,location_count,zip_codes
Stanford Health Care - Emeryville,3,5,"94608,94544,94523"
Sutter Health,3,5,"95124,95816,95661"
Santa Cruz Metro,3,5,"95076,95066,95060"
"Wash Cycle, Inc.",3,5,"95632,95624,95376"
Kaiser Medical Center,3,5,"94577,94545,95110"
"Seagate Properties, Inc.",3,5,"94704,94539,94705"
Pentair Thermal Management,3,5,"94065,94063,94025"
Lodi Memorial Hospital,3,4,"95240,95242,95632"
CIM Group,3,4,"94607,94103,94107"
Fairfield Inn & Suites,3,4,"94503,95112,94070"
Fort Sutter MOB,3,4,"95816,94546,95661"
Benson Industries,3,4,"94111,97209,94108"
Retail Store,3,4,"94118,94109,94121"
AC Hotel,3,4,"94086,95113,94080"
"Progress Glass Company, Inc",3,4,"94124,94931,94518"
Sequoia Realty Services ,3,4,"94063,94025,94019"
Exchange Bank,3,4,"95403,95404,95401"
Commercial Building,3,3,"95112,94111,94112"
Bill’s Ace Hardware,3,3,"94521,94523,94553"
"Block, Inc.",3,3,"94102,94612,94110"
"Clear Vision Facilities Mgmt, Inc",3,3,"92127,91320,21704"
A-1 Industries,3,3,"95020,94539,94063"
Sequoia Union High School District,3,3,"94062,94025,94063"
AAI Mechanical,3,3,"30542,30518,30024"
Turner Construction Company,3,3,"94596,95833,95035"
Golden State Lumber,3,3,"94005,94901,94520"
Midglen Studios,3,3,"94062,94301,94070"
"Stockham Construction, Inc.",3,3,"95054,94931,94080"
California Pacific Medical Center - Davies Campus,3,3,"94114,94117,94110"
Hampton Inn,3,3,"95376,94080,94103"
Santa Rosa Junior College,3,3,"95407,95401,95492"
"Rudy’s Glass, Inc. ",3,3,"95054,94587,95134"
Arco,3,3,"95118,94002,94509"
"Peacock Construction, Inc.",3,3,"94104,94549,94103"
Mona’s Bar & Grill,3,3,"94597,94521,94518"
PMB Real Estate Services,3,3,"94546,92130,94109"
Peet’s Coffee ,3,3,"94123,94117,94115"
Mercy Housing California,3,3,"94114,94102,94014"
San Mateo County Transit District,3,3,"94070,94063,94080"
VAMC SF,3,3,"94121,94158,94123"
Maddison Oxbow Ventures LP,3,3,"28237,94113,94559"
Kaiser Permanente ,3,3,"94568,94550,92123"
Adventist Health,3,3,"94590,95678,95969"
John Muir Outpatient Center,3,3,"94595,94588,94513"
JKL Corporation,3,3,"94596,94538,95404"
Extra Space Storage ,3,3,"94589,94803,94621"
76 Station,3,3,"95355,95124,95008"
Unger Construction Co.,3,3,"95403,95816-0247,95818"
Best Western Plus ,3,3,"94080,94063,94040"
