customer_name,zip_count,location_count,zip_codes
SF Dept of Human Services,2,2,"94120,94103"
Sur La Table,2,2,"94103,94010"
Museum of Performance & Design,2,2,"94107,94102"
Puma,2,2,"94102,95035"
Stonestown Galleria,2,2,"94132,97208"
340 Fremont Apartments,2,2,"94105,94801"
Speederia Pizzeria ,2,2,"94070,94061"
Don Gibson,2,2,"94070,94063"
Crystal Springs Uplands School ,2,2,"94070,94010"
"W L Butler Construction, Inc ",2,2,"94063,95206"
Sunrise of Palo Alto,2,2,"94306,97208"
Mr. Fix It,2,2,"94303,94304"
The John Stewart Co.,2,2,"94301,22116"
Marriott,2,2,"94303,94534"
Krispy Kreme Donuts,2,2,"94043,94015"
Santa Clara County Library,2,2,"95037,95008"
Coin-Op Laundry Milpitas,2,2,"95035,94024"
Hilton Garden Inn,2,2,"95035,94533"
Embassy Suites,2,2,"95035,93955"
LockNet,2,2,"94025,40356"
Posh Bagel,2,2,"94025,94022"
Spangler’s Market,2,2,"94019,94018"
Subway,2,2,"95020,95843"
Sprouts,2,2,"95014,95610"
Rocket Software,2,2,"95008,02951"
Helix Electric,2,2,"94010,92121"
Brookdale Windsor,2,2,"95404,95492"
G & G Supermarket,2,2,"95401,94954"
SAM'S FOR PLAY CAFE & CATERING,2,2,"95407,95403"
Santa Rosa Ski & Sports,2,2,"95403,95404"
Sutter Care At Home,2,2,"95403,95828"
Ortega’s Market,2,2,"95403,94952"
Tuesday Morning,2,2,"95407,75240"
Big Lots #4154,2,2,"95401,43081"
Healthcare Design & Construction,2,2,"95404,92868"
CIRE Property Management,2,2,"95403,95406"
Oak Haven Senior,2,2,"93703,95361"
Wendy’s,2,2,"94583,93955"
Department Of Veteran Affairs,2,2,"95814,78714"
Kaiser Behavioral Health,2,2,"94954,94534"
Housing Authority Of The CCC,2,2,"94553,94509"
Sprouts Farmers Market,2,2,"94583,95821"
Hilbers Inc,2,2,"95831,95993"
Green Concept Construction,2,2,"91364,91360"
"NorthStar Memorial Group, LLC",2,2,"77056,90660"
Housing Authority County of San Juaquin,2,2,"95207,95203"
Smart & Final ,2,2,"95240,95825"
TDP Construction,2,2,"95822,95852"
Los Rios Community College District,2,2,"95825,95827"
DMV,2,2,"95818,95945"
Eric Want,2,2,"95747,95949"
"Anthem Builders, Inc",2,2,"95661,95678"
Quandry Construction Inc.,2,2,"91730,91739"
Metro Service Solutions,2,2,"11749,11739"
university of pacific - Stockton,2,2,"95204,95211"
Ranger Specialized Glass,2,2,"77073,20166"
Tractor Supply ,2,2,"95988,95667"
"Quality Solutions, Inc",2,2,"67030,67212"
DH Pace Facilities Group,2,2,"66061,64116"
Callahan Properties,2,2,"95035,94588"
COMCAST SERVICE CENTER,2,2,"94533,94558"
Palo Alto Medical Foundation - Santa Cruz,2,2,"95062,95065"
SUTTER EAST BAY MED FOUND,2,2,"94609,94706"
Vacaville City Hall,2,2,"95687,95688"
